primary_name,type
Delirium tremens,conditions
Tonsils - large,conditions
Headache - cluster,conditions
Gastric ulcer,conditions
Neuroma,conditions
Gynecomastia,conditions
Lymphadenitis - acute,conditions
Coin lesion,conditions
Cerebral contusion,conditions
Renal mass,conditions
Pilar cyst,conditions
Hyperprolactinemia,conditions
Sprain,conditions
Rhabdomyolysis,conditions
Emotional disorder,conditions
Oral ulcer,conditions
Pneumonia - aspiration,conditions
Parapharyngeal abscess,conditions
Adnexal mass,conditions
Pyogenic granuloma,conditions
Myasthenia gravis,conditions
Arrhythmia,conditions
Aortic insufficiency,conditions
Anemia - macrocytic,conditions
Nipple discharge,conditions
Coagulopathy,conditions
Anasarca,conditions
Stool - heme positive,conditions
Duodenal ulcer,conditions
Arthritis - psoriatic,conditions
Drug addiction,conditions
Acidosis - metabolic,conditions
Neurodermatitis,conditions
Tongue pain,conditions
Apnea,conditions
Scar,conditions
Delirium - acute,conditions
Autism,conditions
Pituitary adenoma,conditions
Choking,conditions
Penis disorder,conditions
Breast discharge,conditions
Aortic valve abnormality,conditions
Tendon injury,conditions
Breast disease - fibrocystic,conditions
Achilles tendon rupture,conditions
Human bite - assault,conditions
Anemia - from chronic disease,conditions
Meningitis - aseptic,conditions
Diabetic nephropathy - adult controlled,conditions
Avascular necrosis,conditions
Cervical adenitis,conditions
Dermatitis - chronic,conditions
Vulvitis,conditions
Cervix incompetent,conditions
Inflammatory bowel disease,conditions
Bronchiectasis,conditions
Phimosis,conditions
Spondylolisthesis,conditions
Adenocarcinoma,conditions
Psychosis - atypical,conditions
Ankylosing spondylosis,conditions
Hepatitis - alcohol,conditions
Anaphylaxis,conditions
Tooth luxation,conditions
Hodgkin's lymphoma,conditions
Mouth sores,conditions
Excoriation - neurotic,conditions
Hypernatremia,conditions
Bone pain,conditions
Adrenal insufficiency,conditions
Orchitis,conditions
Arthritis - septic,conditions
Pituitary tumor,conditions
Excoriation,conditions
Pityriasis alba,conditions
Frostbite,conditions
Non-Q-wave infarct,conditions
Acanthosis nigricans,conditions
Trauma - minor,conditions
Elbow sprain,conditions
Respiratoy syncytial virus (RSV) infection,conditions
Keratosis,conditions
Pulmonary abscess,conditions
Mitral valve disorder,conditions
Mycosis fungoides,conditions
Coccyx/sacrum fracture,conditions
Heart disease - congenital,conditions
Angina - recurrent,conditions
Leg infection,conditions
Anal fistula,conditions
Liver disease - alcoholic,conditions
Hemiparesis,conditions
Pneumonia - interstitial,conditions
Adrenal cortical adenoma,conditions
Flatulence,conditions
Metastatic adenocarcinoma,conditions
Small for gestational age,conditions
Vasculitis - leukocytoclastic,conditions
Aortic aneurysm,conditions
Myositis,conditions
Granuloma annulare,conditions
Pulmonary hypertension,conditions
Thrombocytosis,conditions
Coma - hyperosmolar nonketotic (HONK),conditions
Aortic dissection,conditions
Peptic ulcer - acute,conditions
Adenoma - sebaceous,conditions
Urticaria - chronic,conditions
Meconium aspiration syndrome,conditions
Periodontal abscess,conditions
Talus fracture,conditions
Dysphasia,conditions
Erythrasma,conditions
Comedo,conditions
Social phobia,conditions
Amnesia,conditions
Peritonitis - spontaneous bacterial,conditions
Fibrous papule,conditions
Nevus - epidermal,conditions
Atrial septal defect,conditions
Anemia - pernicious,conditions
Hepatic cancer,conditions
Umbilical granuloma,conditions
Perforated viscus,conditions
Agoraphobia with panic attacks,conditions
Suspected child abuse,conditions
Berry aneurysm,conditions
Myocardial infarction,conditions
Ovarian abscess,conditions
Oligohydramnios,conditions
Testicular cancer,conditions
Drug eruption - fixed,conditions
Juvenile rheumatoid arthritis,conditions
Panniculitis,conditions
Telangiectasia,conditions
Abducens nerve palsy,conditions
Proctitis,conditions
Pericarditis - acute,conditions
Paronychia - chronic,conditions
Encephalopathy - anoxic,conditions
Dementia - multi-infarction,conditions
Whiplash injury,conditions
Cocaine abuse - episodic,conditions
Lichen sclerosus et atrophicus,conditions
Macrocephaly,conditions
Uremia,conditions
Nocturnal dyspnea,conditions
Dermatographism,conditions
Atelectasis,conditions
Pruritus ani,conditions
Drug abuse - IV,conditions
Kerion,conditions
Perleche,conditions
Placenta previa,conditions
Colic - infantile,conditions
Pickwickian syndrome,conditions
Esophageal stricture,conditions
Maxillofacial abscess,conditions
Psychosis - acute toxic,conditions
Anemia - hemolytic,conditions
Ketoacidosis - alcohol,conditions
Hilar adenopathy,conditions
Oliguria,conditions
Hepatitis - acute,conditions
Renal cell adenocarcinoma,conditions
Prinzmetal's angina,conditions
Pancreatic pseudocyst,conditions
Precocious puberty,conditions
Synovitis,conditions
Polyp - adenomatous,conditions
Diabetic nephropathy - adult uncontrolled,conditions
Respiratory arrest,conditions
Glaucoma - primary angle closure,conditions
Antisocial personality disorder,conditions
Fibroma,conditions
Sarcoma,conditions
Periodontal disease,conditions
Aspiration,conditions
Throat mass,conditions
Anemia - folate deficiency,conditions
Pulmonic stenosis,conditions
Lactose intolerance,conditions
Mediastinal adenopathy,conditions
Refractive error,conditions
Hepatic abscess,conditions
Pustulosis palmaris et plantaris,conditions
Anorexia nervosa,conditions
Ulnar nerve injury,conditions
Amphetamine abuse,conditions
Fasciitis - nodular,conditions
Costovertebral angle pain,conditions
Hepatitis - chronic active,conditions
Anosmia,conditions
Ileitis,conditions
Odontogenic infection,conditions
Alpha thalassemia,conditions
Capsulitis - adhesive,conditions
Achalasia,conditions
Renal artery stenosis,conditions
Café au lait spot,conditions
Nasolacrimal duct obstruction,conditions
Striae,conditions
Pseudomembranous enterocolitis,conditions
Depressive disorder - atypical,conditions
Wernicke's syndrome,conditions
Hyperactivity,conditions
Angiolipoma,conditions
Neurofibroma,conditions
Vaginitis - allergic,conditions
Dermal sinus tract,conditions
Bile duct adenocarcinoma,conditions
Temporomandibular arthritis,conditions
Temporal arteritis,conditions
Anemia - normocytic,conditions
Diskitis,conditions
Glaucoma - primary open angle,conditions
Acromegaly,conditions
Amaurosis fugax,conditions
Adenoma - pleomorphic,conditions
Anovulation,conditions
Necrobiosis lipoidica,conditions
Polymorphous light eruption,conditions
Ovarian cyst torsion,conditions
Autosomal dominant polycystic kidney disease,conditions
Submandibular space abscess,conditions
Elbow strain,conditions
Fibromatosis,conditions
Retropharyngeal abscess,conditions
Pyloric stenosis,conditions
Guillain-Barre syndrome,conditions
Laryngeal mass,conditions
Paraphimosis,conditions
Polyhydramnios,conditions
Reiter's syndrome,conditions
Pseudoaneurysm,conditions
Tracheal stenosis,conditions
Alveolar osteitis,conditions
Akathisia,conditions
Cirrhosis - micronodular,conditions
Syringomyelia,conditions
Sinus arrhythmia,conditions
Keratoderma - acquired,conditions
Brain abscess,conditions
Mastocytoma,conditions
Spinal epidural abscess,conditions
Endocarditis - subacute bacterial,conditions
Pneumonia - nosocomial,conditions
Acute respiratory distress syndrome,conditions
Bowel habits - altered,conditions
Hyperkeratosis,conditions
Keratoacanthoma,conditions
Porokeratosis,conditions
Cat scratch disease,conditions
Ankle dislocation,conditions
Spider angioma,conditions
Osteomyelitis - tuberculosis,conditions
Prothrombin time increased,conditions
Teratoma - benign cystic,conditions
Belching,conditions
Chronic infection,conditions
Syndrome of inappropriate vasopressin secretion (SIADH),conditions
ABO incompatibility,conditions
Tophus,conditions
Sinus tenderness,conditions
Lymphangioma,conditions
Renal cyst - acquired,conditions
Angina - Ludwig's,conditions
Henoch-Schonlein purpura,conditions
Tracheomalacia,conditions
Renal vein thrombosis,conditions
Renal abscess,conditions
Adenoids - large,conditions
Child abuse,conditions
Human bite - accidental,conditions
Nasopharyngeal carcinoma,conditions
Retinopathy - proliferative,conditions
Dermatosis - pigmented purpuric,conditions
Alkalosis - metabolic,conditions
Buccal cavity disease,conditions
Parasitic infection,conditions
Kyphosis,conditions
Spinal cord mass,conditions
Eventration - diaphragmatic,conditions
Urethral diverticulum,conditions
Renal trauma,conditions
Central nervous system bleeding,conditions
Myringitis,conditions
Genital anomalies,conditions
Parasite disease,conditions
Ventricular arrhythmia,conditions
Erythema annulare centrifigum,conditions
Encephalitis,conditions
Biceps tendon rupture,conditions
Sexual abuse,conditions
Tooth loss,conditions
Hepatic metastases,conditions
Leiomyosarcoma,conditions
Giant cell tumor of bone,conditions
Toxicity - digitalis,conditions
Cardiac injury,conditions
Androgen deficiency,conditions
Cheilitis - acute,conditions
Retinopathy - proliferative diabetic,conditions
Darier-White disease,conditions
Arthritis - gonococcal,conditions
Motion sickness,conditions
Myeloid leukemia - acute,conditions
Keratoderma - congenital,conditions
Seminoma,conditions
Dribbling of urine,conditions
Lymphocytic leukemia - acute,conditions
Hypogammaglobulinemia,conditions
Urticaria pigmentosa,conditions
Carcinoid tumor - malignant,conditions
Trichomycosis axillaris,conditions
Atrial myxoma,conditions
Bile ducts - dilated,conditions
Eclampsia,conditions
Palate edema,conditions
Pulmonary infarction,conditions
Poliomyelitis,conditions
Epiglottitis,conditions
Interstitial nephritis - acute,conditions
Adenoma - follicular,conditions
Acute myocardial infarction s/p TPA,conditions
Myelofibrosis,conditions
Takayasu's arteritis,conditions
Familial Mediterranean fever,conditions
Gastric obstruction,conditions
Cutaneous B cell lymphoma,conditions
Arteriosclerosis,conditions
Glomerulonephritis - membranous,conditions
Anemia - aplastic,conditions
Bone metastases,conditions
Glomerulonephritis - membranoproliferative,conditions
Anemia - refractory,conditions
Cheilitis - actinic,conditions
Glaucoma - chronic angle closure,conditions
Giant cell arteritis,conditions
Esophageal diverticulum,conditions
Bronchial obstruction,conditions
Chronic passive congestion,conditions
Dyspraxia,conditions
Omphalocele,conditions
Lordosis,conditions
Trichoepithelioma,conditions
Carcinoma - adenoid cystic,conditions
Neuroma - traumatic,conditions
Urticaria - cholinergic,conditions
Ketonuria,conditions
Kidney - horseshoe,conditions
Abdominal bruit,conditions
Periodonitis - acute,conditions
Aortic valve - bicuspid,conditions
Dementia - alcohol-associated,conditions
Peritoneal metastases,conditions
Periodontitis - apical,conditions
Solar elastosis,conditions
Asymmetric septal hypertrophy,conditions
Aspergillus species,conditions
Pemphigoid gestationis,conditions
Tarsal fracture,conditions
Parathyroid adenoma,conditions
Encephalomalacia,conditions
Perinephric abscess,conditions
Near Drowning-Fresh Water,conditions
Pitted keratolysis,conditions
Rectal polyp,conditions
Osteogenic sarcoma,conditions
Actinomycosis,conditions
Thyroid adenoma,conditions
Jugular vein thrombosis,conditions
Penile adhesion,conditions
Hailey-Hailey disease,conditions
Aneurysm - dissecting,conditions
Hyphema,conditions
Renal obstruction,conditions
Acoustic neuroma,conditions
Hypoalbuminemia,conditions
Signet ring cell adenocarcinoma,conditions
Hidradenoma,conditions
Rickets,conditions
Atelectasis - subsegmental,conditions
Amblyopia,conditions
Cerebral atrophy,conditions
AIDS-related complex,conditions
Osteochondroma,conditions
Friedreich's ataxia,conditions
Diabetic nephropathy - juvenile controlled,conditions
Atrophic gastritis,conditions
Osteoma,conditions
Pharyngeal ulcer,conditions
Pseudoxanthoma elasticum,conditions
Laryngeal abscess,conditions
Vertebrobasilar insufficiency,conditions
Acropustulosis - infantile,conditions
Fanconi syndrome,conditions
Adenoma - tubular,conditions
Histiocytoma - atypical fibrous,conditions
Adenosquamous carcinoma,conditions
Cartilage disorder,conditions
Bronchopulmonary dysplasia,conditions
Microcephaly,conditions
Hyperosmolality,conditions
Pneumocephalus,conditions
Horner's syndrome,conditions
Elastosis,conditions
Optic atrophy,conditions
Kidney absent,conditions
Insulinoma,conditions
Superior sagittal sinus thrombosis,conditions
Dextrocardia,conditions
Fetal alcohol syndrome,conditions
Knock knee,conditions
Afibrinogenemia,conditions
Skin changes - atrophic,conditions
Melanosis,conditions
Pilonidal dimple,conditions
Anisocoria,conditions
Rhabdomyosarcoma,conditions
Asbestosis,conditions
Median nerve injury,conditions
Angiofibroma - juvenile,conditions
Gastric retention,conditions
Zollinger-Ellison syndrome,conditions
Soft tissue neoplasm - malignant,conditions
Skin pain - psychogenic,conditions
Renal abnormality - congenital,conditions
Cardiac prosthesis - infected,conditions
Psoriatic erythroderma,conditions
Presbycusis,conditions
Cystinuria,conditions
Retroperitoneal abscess,conditions
Embolism - peripheral,conditions
Follicular adenocarcinoma,conditions
Cardiac myxoma,conditions
Astrocytoma,conditions
Interstitial nephritis,conditions
Aphakia,conditions
C1 ring fracture,conditions
Aortic root dilated,conditions
Lichenoid drug eruption,conditions
Platybasia,conditions
Adenoma,conditions
Nephrosclerosis - arteriolar,conditions
Anemia - megaloblastic,conditions
Optic nerve injury,conditions
Neurilemmoma,conditions
Anetoderma,conditions
Bone tumor - benign,conditions
Joint prosthesis,conditions
Anemia - autoimmune hemolytic,conditions
Cerebellar atrophy,conditions
Bone marrow failure,conditions
Rectal stricture,conditions
Imperforate anus,conditions
Acrodermatitis - papular,conditions
Embryonal rhabdomyosarcoma,conditions
Craniopharyngioma,conditions
Anterior meniscus tear,conditions
Hypoaldosteronism,conditions
Cutaneous vasculitis - allergic,conditions
Kawasaki disease,conditions
Aphonia,conditions
Adamantinoma,conditions
Vasculitis - autoimmune,conditions
Craniosynostosis,conditions
Aortic coarctation,conditions
Subphrenic abscess,conditions
Ecthyma,conditions
Acidosis - lactic,conditions
Vasculitis - granulomatous,conditions
Lateral pharyngeal space abscess,conditions
Abruptio placentae,conditions
Incontinentia pigmenti,conditions
Gastroschisis,conditions
Papillary adenocarcinoma,conditions
Astigmatism,conditions
Keratosis - inverted follicular,conditions
Arachnoiditis,conditions
Filtering bleb failed,conditions
Histiocytosis - malignant,conditions
Alkalosis - respiratory,conditions
Spermatogenic arrest,conditions
Adenosis - sclerosing,conditions
Liposarcoma - myxoid,conditions
Ganglioneuroblastoma,conditions
Glomerulonephritis - acute,conditions
Erythroblastosis fetalis,conditions
Glaucoma - combined mechanism,conditions
Hartnup disease,conditions
Alveolar proteinosis,conditions
Myeloid maturation arrest,conditions
Tubular adenocarcinoma,conditions
Hyperplastic marrow,conditions
Anemia - myelophthisic,conditions
Hemangiopericytoma - malignant,conditions
Pyloric obstruction,conditions
Dyslexia,conditions
Alkaptonuria,conditions
Pheochromocytoma,conditions
Amyloid,conditions
Glomerulonephritis - post-infectious,conditions
Laxative abuse,conditions
Histocytosis,conditions
Meningeal carcinomatosis,conditions
Olivopontocerebellar atrophy,conditions
Hepatic adenoma,conditions
Renal disease - pregnancy associated,conditions
Lymphangiosarcoma,conditions
Pulmonary vein congestion,conditions
Small bowel abnormality,conditions
Colitis - amebic,conditions
Subdural empyema,conditions
Adrenal cancer,conditions
Gastrointestinal motility disorder,conditions
Aniseikonia,conditions
Achlorhydria,conditions
ACTH syndrome - ectopic,conditions
Lobular adenocarcinoma,conditions
Myeloid hypoplasia,conditions
Poikiloderma atrophicans,conditions
Glucose-6-phosphate dehydrogenase (G6PD) deficiency,conditions
Malignant mixed tumor,conditions
Thiamine deficiency,conditions
Chondrosarcoma,conditions
Ureterocele,conditions
Anemia - vitamin B6 deficiency,conditions
Amylase - high,conditions
Di Guglielmo's syndrome,conditions
Appendolithiasis,conditions
Bone disease - aluminum related,conditions
Seminoma - anaplastic,conditions
Hurthle cell adenoma,conditions
Cystic lymphangioma,conditions
Ureteral perforation,conditions
Mucinosis,conditions
Rhytids,conditions
Mesonephroma - benign,conditions
Liver - small,conditions
Embolism - tumor,conditions
Hyperchloremia,conditions
Ameloblastoma,conditions
Atransferrinemia,conditions
Small bowel - dilated,conditions
Pheochromocytoma - malignant,conditions
Histiocytoma - malignant fibrous,conditions
Agoraphobia without panic attack,conditions
Tyrosinosis,conditions
Acinar cell tumor,conditions
Kyphoscoliosis,conditions
Islet cell adenocarcinoma,conditions
Adenoma - testicular,conditions
Carcinoma - Sertoli cell,conditions
Meningitis - amebic,conditions
Fibroxanthoma,conditions
Pneumonia - lipoid,conditions
Empty sella syndrome,conditions
Chondroblastoma - malignant,conditions
Chondroblastoma,conditions
Neuroblastoma,conditions
Hypochloremia,conditions
Adenoma - nephrogenic,conditions
Infantile spasms,conditions
Alopecia mucinosa,conditions
Acinic cell adenocarcinoma,conditions
Odontogenic tumor,conditions
Ventricular aneurysm,conditions
Keratosis - arsenical,conditions
Echinococcosis,conditions
Abetalipoporteinemia,conditions
Hepatic fibrosis,conditions
Ureter dilated,conditions
Adrenal cortical adenocarcinoma,conditions
Osteoblastoma,conditions
Polyradiculoneuropathy,conditions
Cerebrospinal fluid protein - high,conditions
Nephritis - sodium losing,conditions
Burkitt's tumor,conditions
Bile reflux,conditions
Velopharyngeal incompetence,conditions
Asphyxia,conditions
Nail dystrophy - congenital,conditions
Respiratory acidosis,conditions
Milk-Alkali syndrome,conditions
Paraganglioma - malignant,conditions
Retinal central artery occlusion,conditions
Pseudoepitheliomatous hyperplasia,conditions
Gangrenous gallbladder,conditions
Adenofibroma,conditions
Glomerulonephritis - rapidly progressive,conditions
Fetal distress,conditions
Esophageal atresia,conditions
Fibromuscular hyperplasia,conditions
Mesonephroma - malignant,conditions
Rhabdomyosarcoma - pleomorphic,conditions
Disaccharidase deficiency,conditions
Antrum deformed,conditions
Rieger syndrome,conditions
Tubular necrosis - acute,conditions
Liposarcoma,conditions
Rhabdomyosarcoma - alveolar,conditions
Fibrosarcoma,conditions
Hydrops fetalis,conditions
Uric acid stone,conditions
Carcinoma - cloacogenic,conditions
Adenoacanthoma,conditions
Adenoma - papillary,conditions
Mountain sickness,conditions
Sarcoma - synovial,conditions
Glucagonoma - malignant,conditions
Hemangiosarcoma,conditions
Skin appendage adenoma,conditions
Embolism - fat,conditions
Myxosarcoma,conditions
Myxoma,conditions
Blood group AB positive,conditions
Aspermia,conditions
Hairy cell leukemia,conditions
Malignant giant cell tumor of bone,conditions
Teeth ankylosis,conditions
Anemia - dilutional,conditions
Hirschsprung's disease,conditions
Embolism - amniotic fluid,conditions
Radiation injury,conditions
Androblastoma,conditions
Hearing aid,conditions
Melanoma - amelanotic,conditions
Liposarcoma - pleomorphic,conditions
Skin condition - hypertrophic,conditions
Pseudomyxoma peritonei,conditions
Rheumatic fever,conditions
Paget's disease of breast,conditions
Villous adenocarcinoma,conditions
Meningeal tumor,conditions
Pilonidal cyst,conditions
Legg-Calvé-Perthes disease,conditions
Nephropathy - obstructive,conditions
Cataract - traumatic,conditions
Angiodysplasia,conditions
Granular cell tumor,conditions
Ewing's sarcoma,conditions
Alveolar soft part sarcoma,conditions
Iodine allergy,conditions
Anemia - sideroblastic,conditions
Adenoma - villous,conditions
Sertoli-cell-only syndrome,conditions
Osteochondromatosis,conditions
Allergic alveolitis,conditions
Nephroblastoma,conditions
Angiomyolipoma,conditions
Splenic abscess,conditions
Asplenia,conditions
Medullary adenocarcinoma,conditions
Patent ductus arteriosus,conditions
Anthracosis,conditions
Lyme arthritis,conditions
Gliosis,conditions
Dyskeratosis,conditions
Hemodialysis complication,conditions
Gastric dilatation,conditions
Bone marrow toxicity,conditions
Anisometropia,conditions
Tubular acidosis,conditions
Hyperuricemia,conditions
Desmoid,conditions
Basophilic adenoma,conditions
Pulmonary artery - large,conditions
Hemangiopericytoma,conditions
Creeping eruption,conditions
Duodenal bulb deformed,conditions
Glucagonoma,conditions
Familial adenomatous polyposis,conditions
Hypoplastic marrow,conditions
Angiokeratoma,conditions
Adenocarcinoma in-situ,conditions
Costovertebral angle tenderness,conditions
Duodenal obstruction,conditions
HGPRT deficiency,conditions
Chromophobe adenocarcinoma,conditions
Giant cell tumor of soft parts,conditions
Hyperthermia - malignant,conditions
Alport syndrome,conditions
Islet cell adenoma,conditions
Adrenogenital syndrome,conditions
Atrial flutter,conditions
Heat stroke,conditions
Atrial fibrillation,conditions
Abdominal colic,conditions
Myocardial infarction - acute,conditions
Adult abuse,conditions
Arthritis,conditions
Fluid and/or electrolyte disorder,conditions
Gait problem,conditions
Hypersensitivity,conditions
Methicillin-resistant Staph aureus (MRSA) colonization,conditions
Methicillin-resistant Staph aureus (MRSA) infection,conditions
Feces - abnormal,conditions
Uric acid abnormality,conditions
Urine - abnormal,conditions
Congenital adrenal hyperplasia (CAH),conditions
Transposition of the great arteries (TGA),conditions
Total anomalous pulmonary venous return (TAPVR),conditions
Maple syrup urine disease (MSUD),conditions
Truncus arteriosus (TA),conditions
Anemia,conditions
Albinism,conditions
